sevencs_fav,sevencs_nce_median,dups,max_seven_cs,individ_tripod_rating,individ_sgp_rating,individ_sgp_percentile,individ_msgp
0.944833517,93,0,,4,4,98,82.25
0.943322301,72,0,,4,3,29,42.63
0.931499243,89,0,,4,3,27,41.625
0.931233346,95,0,,4,3,63,55.8
0.929791868,98,0,,4,4,99,92.8
0.927565992,95,0,,4,1,5,27
0.926956713,88,0,,4,3,73,60
0.921696842,79,0,,4,4,85,66.25
0.915476203,81,0,,4,3,80,63.23255814
0.913868725,91,0,,4,3,24,40
0.913043499,92,0,,4,3,24,40
0.911304533,96,0,,4,3,45,48.65
0.911270678,92,0,,4,4,92,72
0.911130667,92,0,,4,3,63,55.5
0.910951793,89,0,,4,3,45,48.5
0.908395529,90,0,,4,3,22,39.14
0.90803057,90,0,,4,3,64,56
0.9033373,91,0,,4,3,62,55
0.901765704,86,0,,4,3,65,56.4
0.900828183,85,0,,4,3,16,35.75
0.899526775,82,0,,4,3,55,52
0.899123728,82,0,,4,3,80,63
0.893398285,82,0,,4,3,52,51.335
0.889428377,92,0,,4,1,4,25.5
0.887927473,89,0,,4,3,67,57
0.885834515,83,0,,4,3,63,55.945
0.885430038,78,0,,4,3,45,48.5
0.88535583,82,0,,4,3,74,60.375
0.885094583,85,0,,4,4,91,71.035
0.884414911,77,0,,4,4,91,71.5
0.883593917,85,0,,4,4,88,68
0.882627785,89,0,,4,4,95,77
0.882073462,84,0,,4,3,61,54.5
0.881601274,89,0,,4,3,34,44
0.881545901,75,0,,4,3,26,41
0.881448448,82,0,,4,4,85,66.5
0.878839076,80,0,,4,4,91,70.5
0.878714681,75,0,,4,3,38,45.91
0.878431559,80,0,,4,3,80,63
0.878163934,92,0,,4,3,61,54.93
0.878146231,82,0,,4,3,37,45
0.877494335,91,0,,4,3,67,57
0.877464771,84,0,,4,3,43,47.5
0.877125859,81,1,2,4,1,2,21
0.876987159,79,0,,4,3,80,63.15
0.876197219,90,0,,4,1,1,12.1
0.875894725,81,0,,4,4,92,72.3
0.875830352,75,0,,4,4,87,67
0.874878883,82,0,,4,1,4,25
0.874619722,80,0,,4,1,4,25.395
0.874251544,84,0,,4,3,67,57
0.874239087,79,0,,4,4,95,76
0.874116063,77,0,,4,3,76,61.5
0.873142183,85,0,,4,4,93,74
0.87268585,85,0,,4,3,41,47
0.872509658,78,0,,4,3,65,56.43
0.872023821,77,0,,4,3,27,41.75
0.871693134,72,0,,4,4,88,68
0.868711472,83,0,,4,4,94,74.5
